bars_confidence,bars_start,beats_confidence,beats_start,duration,end_of_fade_in,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tatums_confidence,tatums_start,tempo,time_signature,time_signature_confidence,genre,genre_encoded
0.075,0.10085,0.578,0.10085,145.05751,2.223,11.0,0.717,-10.544,1,0.613,140.132,0.388,0.10085,150.569,3.0,1.0,rock,17
0.035,1.41236,0.71,0.45243,243.722,0.165,9.0,0.585,-4.852,1,0.537,239.56,0.76,0.21105,126.105,4.0,0.689,folk,6
1.0,0.12383,1.0,0.12383,197.79873,0.078,8.0,0.682,-13.483,1,0.671,192.935,0.697,0.12383,113.293,1.0,0.0,gospel,7
0.13,0.52421,0.578,0.52421,327.99302,0.165,2.0,0.5,-7.843,1,0.371,311.124,0.0,0.10596,96.02,5.0,0.81,experimental,5
0.076,0.72416,0.771,0.21072,235.41506,0.0,8.0,0.31,-11.761,0,0.443,228.635,0.599,0.21072,116.195,4.0,0.944,pop,13
0.204,1.04642,0.0,0.48146,181.26322,7.262,1.0,0.065,-30.726,1,0.319,181.263,0.0,0.19898,106.343,7.0,0.542,classical,1
0.001,0.60272,0.827,0.11179,359.36608,0.078,0.0,0.572,-6.637,1,0.532,359.366,1.0,0.11179,122.934,4.0,1.0,electronic,4
0.004,1.11707,0.447,0.09511,280.00608,0.0,9.0,0.501,-5.342,1,0.6,276.764,0.792,0.09511,117.574,4.0,0.956,pop,13
0.038,0.73761,0.865,0.21137,277.10649,0.0,0.0,0.0,-13.548,1,0.0,277.106,0.0,0.21137,90.002,4.0,0.792,other,12
0.139,0.56033,0.687,0.10149,208.16934,3.634,5.0,0.197,-5.704,0,0.369,197.764,0.191,0.10149,128.077,4.0,0.743,pop,13
0.154,0.04638,0.751,0.04638,160.57424,0.125,11.0,0.011,-16.399,1,0.276,155.394,0.003,0.04638,83.053,3.0,0.515,country,3
0.913,0.155,0.913,0.155,228.62322,0.148,2.0,0.995,-12.174,1,0.811,221.762,0.612,0.155,160.105,1.0,0.0,folk,6
0.019,0.33779,0.726,0.33779,275.3824,0.0,7.0,0.507,-11.428,1,0.539,268.411,0.0,0.11695,133.64,4.0,0.718,folk,6
0.03,0.6525,0.359,0.26364,146.59873,0.0,0.0,0.146,-7.249,1,0.284,143.139,0.527,0.07484,160.009,4.0,0.485,metal,11
0.362,0.55569,0.362,0.55569,352.57424,0.34,9.0,0.123,-13.456,0,0.0,336.283,0.0,0.13834,95.633,1.0,0.0,latin,10
0.007,0.46192,0.341,0.11228,297.42975,0.078,11.0,0.491,-6.253,1,0.902,292.508,0.895,0.11228,170.238,4.0,0.123,world,19
0.041,1.25299,1.0,0.62317,288.70485,0.195,9.0,0.398,-6.503,0,0.395,280.137,1.0,0.30049,97.233,4.0,0.0,rock,17
1.0,0.11047,1.0,0.11047,217.96526,0.073,4.0,0.646,-10.011,1,0.352,204.138,1.0,0.11047,107.657,1.0,0.0,pop,13
0.398,0.33963,1.0,0.33963,290.55955,0.119,1.0,0.212,-4.169,1,0.338,290.56,0.653,0.13028,113.995,4.0,0.654,rock,17
0.02,0.82583,0.622,0.11701,544.522,0.096,10.0,0.484,-10.971,0,0.507,525.81,1.0,0.11701,84.64,5.0,1.0,electronic,4
0.448,0.32495,0.448,0.32495,250.48771,0.403,5.0,0.572,-7.658,1,0.426,238.26,0.288,0.03684,103.02,1.0,0.025,latin,10
0.466,0.65494,0.466,0.65494,158.51057,0.0,6.0,0.51,-11.443,1,0.625,154.459,0.379,0.37099,104.263,1.0,0.0,jazz,9
0.029,0.85277,0.592,0.85277,222.69342,0.0,10.0,0.763,-8.209,0,0.724,213.113,0.0,0.5571,105.95,4.0,0.85,r&b/soul,15
0.196,0.72406,1.0,0.22408,142.70649,0.172,5.0,0.758,-7.954,1,0.586,133.701,1.0,0.22408,120.227,3.0,0.539,gospel,7
0.567,0.22357,0.567,0.22357,92.89098,0.0,5.0,0.254,-13.4,1,0.411,79.702,0.376,0.04104,163.066,1.0,0.0,other,12
0.026,2.02795,0.0,0.57265,174.28853,0.0,6.0,0.075,-3.731,1,0.463,172.054,0.528,0.02873,82.69,4.0,0.453,punk,14
0.031,1.82334,0.789,0.47561,277.99465,15.488,7.0,0.08,-8.878,1,0.42,245.133,0.06,0.18337,80.023,4.0,0.484,folk,6
0.619,0.58678,0.913,0.08425,234.81424,0.155,11.0,0.034,-4.704,0,0.322,223.881,0.607,0.08425,119.969,4.0,0.0,pop,13
0.049,0.81897,0.496,0.33391,172.30322,0.0,4.0,0.539,-6.485,0,0.555,172.303,0.415,0.33391,123.976,4.0,0.5,electronic,4
0.288,0.53094,0.288,0.53094,263.33995,0.0,9.0,0.639,-7.814,0,0.571,263.34,0.406,0.21172,98.739,1.0,0.372,latin,10
0.0,1.23853,1.0,0.17612,237.71383,0.131,6.0,0.0,-7.881,0,0.075,229.959,1.0,0.17612,112.965,4.0,0.542,pop,13
0.656,0.42303,0.656,0.42303,543.97342,0.2,7.0,0.611,-8.249,1,0.74,494.034,0.0,0.42303,99.644,1.0,0.052,country,3
0.007,0.8528,0.537,0.2157,267.49342,0.0,9.0,0.0,-5.407,0,0.166,262.264,0.944,0.2157,93.991,4.0,0.706,hip hop,8
0.254,2.2215,0.477,0.99662,199.13098,4.394,5.0,0.585,-10.646,1,0.464,189.568,0.112,0.39648,49.565,4.0,0.0,country,3
0.348,0.43179,0.348,0.43179,193.54077,0.0,10.0,0.336,-13.339,1,0.139,183.339,0.477,0.17749,120.563,1.0,0.0,rock,17
0.17,0.64731,0.502,0.26564,545.74975,0.247,7.0,0.407,-9.465,0,0.294,540.212,0.516,0.07959,142.646,4.0,0.082,rock,17
0.051,0.45068,0.76,0.16543,474.61832,0.0,9.0,0.529,-7.234,0,0.444,466.506,0.448,0.16543,209.752,4.0,0.0,electronic,4
0.455,0.71176,0.4,0.34563,311.11791,0.0,4.0,0.082,-6.818,0,0.0,304.141,0.209,0.16854,164.946,4.0,0.521,hip hop,8
0.021,1.40544,0.997,0.40808,236.2771,0.345,11.0,0.474,-10.829,0,0.547,226.342,0.382,0.08104,123.004,4.0,0.712,experimental,5
0.291,0.93622,0.458,0.26432,109.13914,0.061,6.0,0.176,-6.211,0,0.223,105.709,0.447,0.09655,183.437,4.0,0.0,hip hop,8
0.0,0.08839,0.0,0.08839,275.12118,0.189,2.0,1.0,-19.453,1,0.717,264.94,0.242,0.08839,191.61,1.0,0.0,jazz,9
0.851,0.3145,0.851,0.3145,228.51873,0.229,5.0,0.579,-12.053,1,0.405,223.37,0.187,0.14212,179.501,1.0,0.0,world,19
0.798,0.58641,0.0,0.07303,339.25179,0.0,2.0,0.5,-5.365,1,0.543,334.321,0.644,0.07303,117.706,4.0,0.87,rock,17
0.063,0.92358,0.894,0.44535,212.71465,0.427,0.0,0.713,-11.26,1,0.578,205.311,0.88,0.44535,128.689,4.0,0.433,r&b/soul,15
0.057,0.2695,0.867,0.2695,265.06404,0.0,11.0,0.701,-8.6,1,0.41,249.87,1.0,0.06649,146.775,4.0,0.503,folk,6
0.104,1.55554,0.878,0.41024,195.47383,0.061,0.0,0.745,-7.246,1,0.667,187.588,1.0,0.11816,103.776,3.0,1.0,punk,14
0.613,0.68362,0.613,0.68362,140.7473,0.156,7.0,0.293,-19.602,1,0.3,134.206,0.582,0.07164,64.141,1.0,0.747,country,3
0.737,0.53187,0.631,0.22383,251.08853,0.0,7.0,0.627,-10.978,1,0.619,251.089,0.257,0.06668,192.068,4.0,0.653,hip hop,8
0.028,1.01875,1.0,0.33192,184.68526,0.297,7.0,0.095,-20.691,1,0.535,174.631,0.318,0.10335,87.806,4.0,0.0,country,3
0.152,0.81979,0.0,0.17128,169.482,2.038,4.0,0.306,-7.548,1,0.0,154.726,0.078,0.17128,182.922,3.0,1.0,r&b/soul,15
0.037,1.83212,0.572,0.61354,199.13098,0.333,0.0,0.046,-13.318,1,0.281,187.35,0.187,0.15462,100.288,4.0,0.0,jazz,9
0.06,0.96133,0.52,0.42042,272.03873,0.0,6.0,0.278,-6.564,1,0.392,265.282,0.471,0.15195,112.398,4.0,1.0,rock,17
0.159,1.87346,0.912,0.26093,192.15628,0.229,3.0,0.535,-10.688,1,0.484,186.143,1.0,0.26093,87.062,3.0,0.481,blues,0
0.049,1.18124,0.133,0.41513,247.71873,0.0,0.0,0.268,-6.533,0,0.374,247.719,0.595,0.23038,155.173,4.0,0.0,metal,11
0.001,0.4153,0.713,0.4153,151.84934,0.299,2.0,0.395,-14.3,1,0.772,139.244,0.824,0.14307,117.157,4.0,0.0,reggae,16
0.114,0.19279,0.0,0.19279,203.65016,0.0,0.0,0.914,-14.897,0,0.785,196.354,0.0,0.19279,195.824,4.0,0.586,rock,17
0.243,0.48098,0.868,0.17848,108.12036,0.0,0.0,0.772,-4.926,1,0.76,105.198,0.228,0.02722,198.201,4.0,0.0,punk,14
0.072,0.70507,0.0,0.14566,165.53751,3.587,5.0,0.778,-11.126,1,0.596,162.76,0.131,0.14566,101.272,3.0,0.755,other,12
0.11,2.90402,0.0,0.05451,24.92036,0.142,1.0,0.254,-19.406,1,0.439,24.92,0.391,0.05451,72.845,3.0,0.296,hip hop,8
0.012,1.05984,0.687,0.39845,289.38404,0.0,8.0,0.044,-5.515,0,0.167,278.297,0.713,0.06856,90.889,4.0,0.514,hip hop,8
0.007,0.70126,0.737,0.23294,153.33832,0.0,0.0,1.0,-8.208,1,0.845,145.467,0.681,0.07736,128.022,4.0,0.431,pop,13
0.175,2.97343,0.0,0.34969,232.35873,0.148,7.0,0.601,-12.246,1,0.571,216.027,0.387,0.05703,138.291,7.0,0.415,rock,17
0.0,0.10649,0.0,0.10649,166.76526,2.438,9.0,0.506,-21.515,1,0.49,158.296,0.302,0.10649,51.142,1.0,0.0,soundtrack/misc,18
0.012,1.41631,1.0,0.71787,222.14485,0.328,7.0,0.438,-6.735,1,0.539,213.728,1.0,0.3707,85.994,4.0,0.59,reggae,16
0.122,1.2839,1.0,0.27363,269.81832,0.17,11.0,0.385,-8.525,0,0.478,263.964,0.909,0.27363,120.859,4.0,0.484,rock,17
0.113,0.88289,0.399,0.42775,192.88771,0.294,3.0,0.0,-13.533,1,0.397,179.769,0.399,0.42775,150.75,4.0,0.0,gospel,7
0.06,0.62856,1.0,0.24276,253.57016,0.223,4.0,0.851,-7.268,0,0.489,241.162,1.0,0.05035,155.827,4.0,0.505,reggae,16
1.0,0.19756,1.0,0.19756,263.94077,0.13,0.0,0.951,-14.293,1,0.683,260.882,1.0,0.19756,111.492,1.0,0.0,rock,17
0.614,0.1916,0.614,0.1916,122.33098,0.473,4.0,0.0,-12.528,1,0.162,115.461,0.155,0.1916,182.773,1.0,0.0,other,12
0.47,0.19684,0.793,0.19684,216.94649,0.131,11.0,0.527,-9.181,0,0.606,209.914,0.376,0.03497,94.0,4.0,0.581,other,12
0.14,0.90636,0.769,0.271,259.3171,0.218,9.0,0.365,-12.595,1,0.392,242.979,0.639,0.271,96.627,4.0,1.0,other,12
0.085,0.27765,0.0,0.27765,240.45669,3.262,6.0,0.321,-6.858,1,0.483,229.158,0.131,0.27765,115.979,4.0,0.336,other,12
0.0,2.22992,0.421,1.63006,340.79302,3.93,7.0,0.801,-5.66,1,0.711,331.952,0.104,1.33459,101.08,4.0,0.88,rock,17
0.613,0.68594,0.613,0.68594,298.73587,0.0,0.0,0.134,-22.235,1,0.282,281.954,0.088,0.23458,65.919,1.0,0.951,other,12
0.068,1.0258,0.0,0.27101,223.21587,1.373,7.0,0.284,-12.914,1,0.12,216.776,0.368,0.08751,159.715,4.0,0.88,reggae,16
0.697,0.27639,0.697,0.27639,251.08853,0.374,9.0,0.561,-8.173,1,0.52,245.359,0.733,0.09985,179.665,1.0,0.0,world,19
0.001,0.46207,0.076,0.46207,462.0273,0.655,2.0,0.878,-42.472,1,0.543,408.213,0.076,0.46207,131.619,4.0,0.706,gospel,7
0.005,0.10825,0.682,0.10825,207.28118,0.0,6.0,0.425,-8.337,0,0.681,207.281,0.871,0.10825,123.007,4.0,0.566,electronic,4
0.392,0.76333,0.704,0.09537,319.92118,0.0,1.0,0.6,-4.636,1,0.434,303.462,1.0,0.09537,90.086,4.0,1.0,hip hop,8
0.0,0.32063,0.0,0.32063,128.33914,3.437,9.0,0.746,-8.573,1,0.53,122.346,0.129,0.10349,137.119,1.0,0.0,folk,6
0.0,0.78079,0.0,0.78079,221.72689,0.559,9.0,0.285,-20.731,1,0.157,215.754,0.0,0.78079,202.266,1.0,0.839,r&b/soul,15
0.049,0.55725,0.431,0.08687,266.89261,0.0,5.0,0.545,-6.102,0,0.595,261.683,0.976,0.08687,126.983,4.0,1.0,hip hop,8
0.439,1.47785,0.915,0.35899,151.71873,0.322,0.0,0.569,-9.64,1,0.565,144.115,1.0,0.07949,109.402,4.0,0.0,country,3
0.116,1.09082,0.0,0.42852,262.5824,2.328,9.0,0.317,-5.644,1,0.357,257.155,0.57,0.20609,90.013,5.0,0.386,electronic,4
0.081,0.93842,0.207,0.34848,111.22893,0.0,1.0,0.583,-5.665,1,0.59,101.889,0.528,0.20118,202.65,4.0,0.0,punk,14
0.082,1.05956,0.0,0.40685,194.97751,3.268,2.0,0.043,-9.769,1,0.425,185.94,0.214,0.08965,91.453,4.0,0.0,world,19
0.064,1.08378,0.778,0.30414,226.32444,0.254,3.0,0.578,-8.666,1,0.747,223.858,0.691,0.30414,154.403,4.0,0.129,rock,17
0.011,0.86082,0.764,0.22126,238.81098,0.189,7.0,0.194,-6.338,1,0.223,226.708,0.979,0.06017,187.835,4.0,0.149,hip hop,8
0.828,0.62461,1.0,0.14994,343.562,0.084,8.0,0.637,-5.82,0,0.452,324.11,0.737,0.14994,123.847,4.0,1.0,r&b/soul,15
0.877,0.12284,0.877,0.12284,344.05832,0.068,11.0,0.425,-9.253,1,0.486,335.029,0.56,0.12284,154.953,1.0,0.0,rock,17
0.091,0.33075,0.622,0.33075,159.242,0.096,2.0,0.815,-9.909,1,0.679,152.613,0.817,0.16328,186.549,4.0,0.636,rock,17
0.27,0.66061,0.0,0.17396,261.3024,0.123,9.0,0.745,-13.869,0,0.695,240.982,0.488,0.17396,120.611,4.0,0.226,rock,17
0.979,0.52934,0.979,0.52934,178.442,0.438,9.0,0.737,-15.582,1,0.589,172.553,0.333,0.52934,116.729,1.0,0.0,country,3
0.011,0.88141,0.829,0.06016,189.17832,0.0,0.0,0.057,-14.683,0,0.382,189.178,0.268,0.06016,152.899,4.0,0.812,punk,14
0.265,1.32015,0.0,0.61203,188.89098,0.351,4.0,0.367,-8.239,0,0.372,174.481,0.859,0.14007,77.41,3.0,1.0,other,12
0.017,1.04159,0.76,0.36373,173.89669,0.177,11.0,0.652,-11.954,0,0.253,167.079,0.357,0.19427,176.121,4.0,1.0,rock,17
0.146,0.21674,0.716,0.21674,140.64281,0.0,0.0,0.759,-9.996,0,0.789,140.643,0.47,0.21674,117.671,3.0,1.0,pop,13
0.028,1.35698,1.0,0.25485,162.16771,0.201,9.0,0.168,-11.685,1,0.349,148.799,1.0,0.25485,109.509,4.0,0.0,pop,13
1.0,0.33953,1.0,0.33953,148.47955,0.287,9.0,0.658,-14.101,1,0.609,143.296,0.481,0.05951,106.545,1.0,0.0,blues,0
0.13,0.91973,0.137,0.27797,94.69342,0.213,1.0,0.317,-18.671,0,0.416,88.172,0.069,0.27797,95.777,7.0,0.324,electronic,4
0.003,0.45442,1.0,0.45442,403.19955,0.0,10.0,0.133,-7.668,0,0.194,403.2,1.0,0.21654,126.031,4.0,0.528,electronic,4
0.035,1.24737,0.458,0.24602,321.01832,0.0,5.0,0.0,-5.328,1,0.194,321.018,1.0,0.24602,112.68,4.0,0.625,rock,17
0.045,0.19778,0.84,0.19778,200.51546,0.357,7.0,0.144,-12.968,0,0.38,191.193,0.704,0.19778,147.847,4.0,0.0,pop,13
0.027,1.06698,0.931,0.33578,207.77751,0.061,7.0,0.381,-4.264,1,0.453,204.696,0.654,0.15349,166.862,4.0,0.0,punk,14
0.342,0.95724,0.76,0.30942,227.65669,0.229,9.0,0.481,-13.239,1,0.394,207.964,0.312,0.14606,93.728,4.0,1.0,hip hop,8
0.382,0.20984,0.382,0.20984,423.60118,0.223,9.0,0.982,-23.03,1,0.709,397.868,0.175,0.20984,119.897,1.0,0.751,electronic,4
0.483,0.73343,0.483,0.73343,133.45914,0.0,10.0,0.106,-17.665,0,0.241,129.654,0.448,0.56983,182.974,1.0,0.0,latin,10
0.088,0.72641,0.71,0.28127,267.10159,0.47,5.0,0.159,-16.359,0,0.246,255.64,0.882,0.0587,151.728,7.0,0.0,reggae,16
0.399,1.66495,0.24,1.03254,220.89098,0.0,11.0,0.051,-8.571,1,0.405,220.891,0.556,0.72265,93.909,4.0,0.743,metal,11
0.24,0.46201,0.469,0.14707,240.40444,0.0,4.0,0.209,-4.008,1,0.296,237.946,0.296,0.14707,191.144,4.0,0.474,metal,11
0.273,1.97852,0.741,0.75686,229.69424,8.528,7.0,0.885,-20.958,1,0.672,205.543,0.048,0.75686,151.444,5.0,0.885,soundtrack/misc,18
0.064,0.4843,1.0,0.06046,232.41098,0.225,9.0,1.0,-6.138,1,0.676,219.516,0.646,0.06046,156.527,4.0,0.525,pop,13
0.224,0.25156,0.0,0.25156,165.09342,0.316,7.0,0.627,-14.328,0,0.766,153.101,0.0,0.25156,194.028,4.0,0.406,gospel,7
0.752,1.56301,0.968,1.56301,151.92771,1.135,5.0,0.546,-16.151,1,0.308,147.093,0.845,1.21499,86.961,4.0,0.911,jazz,9
0.027,0.58816,0.593,0.1228,355.18649,0.125,11.0,0.774,-8.01,0,0.539,336.881,0.0,0.1228,125.245,4.0,0.05,reggae,16
0.008,1.37524,0.649,0.45173,266.03057,0.0,7.0,0.143,-6.404,1,0.361,266.031,0.0,0.22146,129.909,4.0,0.138,pop,13
0.822,0.48006,0.822,0.48006,202.10893,0.0,0.0,0.267,-7.597,1,0.369,197.968,0.448,0.26409,140.017,1.0,0.0,pop,13
0.064,0.33994,0.774,0.33994,73.09016,0.107,3.0,0.0,-7.897,0,0.0,71.03,0.437,0.18711,93.703,4.0,0.404,punk,14
0.063,1.25235,0.752,0.37586,71.05261,0.33,9.0,0.437,-21.694,1,0.5,71.053,0.559,0.15647,123.018,5.0,0.065,folk,6
0.706,1.00273,0.706,1.00273,131.082,0.681,4.0,0.124,-10.158,0,0.42,125.411,0.129,0.7601,126.412,1.0,0.361,electronic,4
0.067,0.73792,0.9,0.40024,165.51138,0.138,0.0,0.543,-11.854,1,0.724,154.569,0.458,0.23139,177.598,4.0,0.413,r&b/soul,15
1.0,0.38201,1.0,0.38201,212.21832,0.285,5.0,0.285,-9.191,0,0.256,203.685,0.702,0.38201,159.702,1.0,0.0,electronic,4
0.489,0.8514,0.0,0.16079,162.29832,2.206,9.0,0.542,-10.06,1,0.52,156.415,0.227,0.16079,170.995,4.0,1.0,country,3
0.058,1.11542,0.824,0.26219,289.2273,0.223,7.0,0.441,-12.816,0,0.363,285.6,0.62,0.05498,138.443,4.0,0.314,pop,13
0.032,1.5028,0.608,0.31434,263.13098,0.258,11.0,0.0,-5.97,0,0.0,246.155,0.903,0.0232,101.013,4.0,0.808,jazz,9
0.147,3.47029,0.815,1.329,372.37506,2.786,5.0,0.599,-11.951,0,0.633,367.276,0.14,1.05815,111.985,7.0,0.559,latin,10
0.105,0.15416,1.0,0.15416,160.46975,0.183,1.0,0.277,-4.948,1,0.475,149.687,0.42,0.15416,194.107,4.0,0.037,rock,17
0.919,0.64933,0.526,0.24703,341.75955,0.224,1.0,0.237,-10.537,1,0.37,332.359,0.672,0.04588,120.731,4.0,0.529,latin,10
0.002,1.01476,0.0,0.59377,68.49261,0.43,7.0,0.345,-12.919,1,0.4,66.374,0.0,0.59377,142.666,4.0,0.695,hip hop,8
0.122,0.08505,0.998,0.08505,333.24363,0.16,7.0,0.248,-4.141,1,0.324,324.865,0.179,0.08505,95.973,4.0,0.731,electronic,4
0.003,1.35793,1.0,0.34238,209.34485,0.089,7.0,0.034,-3.313,1,0.503,206.698,0.937,0.08253,120.01,4.0,1.0,rock,17
0.179,2.64429,0.934,0.1452,175.43791,0.287,4.0,0.146,-12.421,1,0.248,166.893,0.23,0.1452,98.082,5.0,0.44,latin,10
0.358,3.39461,0.618,3.39461,241.97179,3.431,1.0,0.595,-9.295,1,0.648,227.91,0.547,3.21889,171.329,3.0,0.748,gospel,7
0.762,0.29059,0.762,0.29059,193.59302,0.247,5.0,0.0,-9.335,0,0.312,186.717,0.832,0.12494,182.153,1.0,0.084,pop,13
0.057,0.44356,0.661,0.44356,43.38893,2.438,5.0,0.615,-14.866,1,0.428,43.389,0.1,0.44356,122.843,5.0,0.833,hip hop,8
0.1,0.68197,0.0,0.68197,199.57506,0.0,4.0,0.348,-4.877,1,0.308,186.404,0.333,0.21014,96.782,4.0,1.0,gospel,7
0.808,0.26704,0.808,0.26704,191.242,0.21,9.0,0.634,-12.62,1,0.416,185.731,0.651,0.26704,110.385,1.0,0.986,country,3
0.012,0.53789,0.693,0.53789,326.60853,0.0,3.0,0.692,-4.136,0,0.578,296.536,0.389,0.41386,120.022,4.0,0.786,metal,11
0.04,6.32777,0.43,1.06165,60.13342,0.712,7.0,0.399,-20.11,1,0.473,60.133,0.242,0.68585,65.61,4.0,0.75,rock,17
0.533,0.81826,0.533,0.81826,325.19791,0.566,2.0,0.828,-8.338,1,0.767,320.54,0.459,0.60205,136.38,1.0,0.14,blues,0
0.222,0.43217,0.42,0.43217,321.72363,0.0,9.0,0.801,-7.042,1,0.804,303.084,0.136,0.20118,130.685,4.0,0.863,metal,11
0.047,1.22751,0.872,0.36104,290.82077,0.305,8.0,0.239,-6.222,0,0.513,278.448,0.431,0.14614,145.607,4.0,1.0,r&b/soul,15
0.113,1.29819,0.378,0.83562,243.85261,0.533,2.0,0.007,-12.772,1,0.213,235.294,0.642,0.60307,130.637,4.0,0.446,pop,13
0.394,0.11624,0.486,0.11624,207.49016,0.096,11.0,0.0,-9.336,0,0.0,202.199,0.982,0.11624,99.997,3.0,1.0,electronic,4
0.196,0.59147,1.0,0.22898,229.56363,0.202,2.0,0.5,-11.68,1,0.484,224.467,0.887,0.22898,165.904,4.0,0.0,reggae,16
0.001,0.56637,1.0,0.21304,195.5522,0.334,9.0,0.471,-7.497,1,0.376,192.058,0.646,0.21304,169.938,4.0,1.0,folk,6
0.003,0.25046,0.466,0.25046,301.16526,0.102,10.0,0.603,-6.445,1,0.511,288.641,0.808,0.12123,115.02,4.0,0.558,pop,13
0.383,0.49634,0.383,0.49634,194.79465,0.0,5.0,0.418,-7.434,1,0.398,184.419,0.572,0.22255,73.136,1.0,0.0,soundtrack/misc,18
0.038,2.35961,0.805,1.4857,243.9571,1.193,7.0,0.598,-10.847,1,0.664,230.824,0.399,1.26448,137.937,4.0,0.117,rock,17
0.013,1.36051,0.0,1.06325,260.10077,0.0,2.0,0.516,-5.852,0,0.599,260.101,0.092,1.06325,200.004,4.0,0.447,rock,17
0.002,2.61727,0.796,1.46234,360.30649,0.0,0.0,0.03,-12.601,1,0.384,348.27,0.741,1.31812,107.053,4.0,0.813,jazz,9
0.419,0.73836,0.0,0.35522,380.42077,0.0,6.0,0.262,-3.183,0,0.424,380.421,0.081,0.15744,158.34,3.0,0.686,experimental,5
0.0,0.47164,1.0,0.47164,360.98567,8.684,2.0,0.593,-9.795,1,0.591,360.986,1.0,0.24432,131.98,4.0,0.0,rock,17
0.148,0.60033,0.148,0.60033,363.85914,0.233,4.0,0.311,-6.977,1,0.439,355.776,0.52,0.08124,90.199,1.0,1.0,rock,17
0.001,0.80016,1.0,0.23002,261.95546,0.188,9.0,0.771,-9.559,0,0.693,240.506,0.967,0.23002,106.009,4.0,0.729,electronic,4
